Step,Epoch,Total_Tokens,Task_Loss,Geo_Loss,Collapse_Penalty,Perplexity,Silhouette,Mean_Speed
0,1,0,9.838576316833496,1.741707682609558,0.0,18743.013671875,0.018029602244496346,0.12526024878025055
50,1,76800,9.840527534484863,1.736128568649292,0.0,18779.62109375,0.018002739176154137,0.12512458860874176
100,1,153600,9.680109977722168,1.904878854751587,0.0,15996.255859375,0.017693663015961647,0.13695818185806274
150,1,230400,8.689990043640137,5.635451316833496,0.04992491006851196,5943.123046875,0.01627344638109207,0.42496246099472046
200,1,307200,8.11776065826416,5.4932942390441895,0.031940340995788574,3353.5029296875,0.01561488676816225,0.41597017645835876
250,1,384000,7.9860968589782715,5.115324020385742,0.042648911476135254,2939.80029296875,0.008097740821540356,0.4213244616985321
300,1,460800,7.337992191314697,4.657322883605957,0.0,1537.6217041015625,0.008361502550542355,0.3985191881656647
350,1,537600,7.799993991851807,4.0755934715271,0.0,2440.58740234375,0.012263733893632889,0.38386666774749756
400,1,614400,7.41414213180542,3.80009126663208,0.0,1659.28515625,0.012175860814750195,0.38692229986190796
450,1,691200,7.596744537353516,3.6208853721618652,0.0,1991.7012939453125,0.01633591204881668,0.3917093873023987
500,1,768000,7.0985846519470215,3.3468403816223145,0.03166991472244263,1210.2529296875,0.014837612397968769,0.4158349633216858
550,1,844800,7.508417129516602,2.9589426517486572,0.0,1823.3251953125,0.017690425738692284,0.39657941460609436
600,1,921600,7.2674126625061035,2.5398447513580322,0.0,1432.83837890625,0.027718210592865944,0.3825133144855499
650,1,998400,7.021798610687256,2.4262378215789795,0.002452671527862549,1120.8006591796875,0.025699442252516747,0.40122634172439575
700,1,1075200,7.3895745277404785,2.4342041015625,0.0,1619.01708984375,0.03917670622467995,0.396818608045578
750,1,1152000,7.159679889678955,2.380997896194458,0.0,1286.4990234375,0.059209536761045456,0.38581907749176025
800,1,1228800,6.989899158477783,2.1442885398864746,0.0,1085.612060546875,0.07348981499671936,0.3794113099575043
850,1,1305600,7.653128147125244,2.1420140266418457,0.0,2107.22705078125,0.11684760451316833,0.38451284170150757
900,1,1382400,7.100410461425781,2.1497445106506348,0.0,1212.464599609375,0.11136632412672043,0.397572785615921
950,1,1459200,7.097034454345703,2.1119320392608643,0.012578368186950684,1208.378173828125,0.08015051484107971,0.4062891900539398
1000,1,1536000,7.064993381500244,1.9895566701889038,0.0,1170.2742919921875,0.08138258755207062,0.39585262537002563
1050,1,1612800,7.192488193511963,1.973621129989624,0.0,1329.4068603515625,0.08684899657964706,0.3954913318157196
1100,1,1689600,6.864770412445068,1.894817590713501,0.0,957.9259033203125,0.06551343947649002,0.3997398614883423
1150,1,1766400,6.464681148529053,1.9478294849395752,0.0,642.0596313476562,0.05058564245700836,0.3744231164455414
1200,1,1843200,6.973974227905273,1.861299753189087,0.0,1068.4605712890625,0.08090288192033768,0.3716100752353668
1250,1,1920000,6.041231155395508,1.8431577682495117,0.028076350688934326,420.41033935546875,0.08420709520578384,0.41403818130493164
1300,1,1996800,6.722710132598877,1.9407519102096558,0.0026779770851135254,831.0667724609375,0.0786166712641716,0.40133899450302124
1350,1,2073600,6.67004919052124,1.8450510501861572,0.0,788.4343872070312,0.05239196494221687,0.3935507535934448
1400,1,2150400,6.889890193939209,1.8361752033233643,0.017242133617401123,982.2935791015625,0.061576198786497116,0.40862107276916504
1450,1,2227200,6.7471795082092285,1.7657866477966309,0.0,851.6532592773438,0.03510160371661186,0.395092636346817
1500,1,2304000,6.601048946380615,1.8029059171676636,0.0,735.86669921875,0.06042640283703804,0.3802097737789154
1550,1,2380800,6.648654460906982,1.782232642173767,0.002588033676147461,771.7452392578125,0.045743297785520554,0.4012940227985382
1600,1,2457600,6.826744079589844,1.7205454111099243,0.0,922.183349609375,0.052651405334472656,0.39422905445098877
1650,1,2534400,6.745173931121826,1.7313969135284424,0.0,849.9469604492188,0.04445411637425423,0.39088234305381775
1700,1,2611200,7.0275444984436035,1.6985163688659668,0.0,1127.25927734375,0.045619841665029526,0.39032042026519775
1750,1,2688000,6.8417792320251465,1.7477260828018188,0.0,936.1533203125,0.039576705545186996,0.3854587972164154
1800,1,2764800,6.636117935180664,1.7731727361679077,0.0,762.130615234375,0.037891585379838943,0.3794746696949005
1850,1,2841600,6.626152038574219,1.753993272781372,0.0,754.5730590820312,0.04720534011721611,0.38977086544036865
1900,1,2918400,6.55047082901001,1.6722581386566162,0.0,699.573486328125,0.03680959343910217,0.389200359582901
1950,1,2995200,6.44155740737915,1.6570713520050049,0.0,627.3831176757812,0.046618346124887466,0.38826408982276917
2000,1,3072000,6.324893951416016,1.6709505319595337,0.0,558.298583984375,0.04095697030425072,0.3927232325077057
2050,1,3148800,6.594402313232422,1.6741409301757812,0.0020934343338012695,730.9918823242188,0.03835611790418625,0.4010467231273651
2100,1,3225600,6.700150012969971,1.5837329626083374,0.0,812.5277099609375,0.045695412904024124,0.3954002559185028
2150,1,3302400,6.563316345214844,1.6113548278808594,0.0,708.6177978515625,0.05255971476435661,0.38963583111763
2200,1,3379200,5.986368179321289,1.5403963327407837,0.0,397.9666748046875,0.025201713666319847,0.3955155909061432
2250,1,3456000,6.391618251800537,1.6065123081207275,0.0,596.8215942382812,0.04240451380610466,0.3987344205379486
2300,1,3532800,6.187129974365234,1.554018259048462,0.0,486.447998046875,0.044290702790021896,0.3762015104293823
2350,1,3609600,6.796370983123779,1.524644374847412,0.003562331199645996,894.5949096679688,0.040571413934230804,0.4017811715602875
2400,1,3686400,6.52649450302124,1.5236339569091797,0.0,682.999755859375,0.04476135969161987,0.3871919810771942
2450,1,3763200,6.356416702270508,1.5587377548217773,0.0,576.1780395507812,0.03516696020960808,0.38367950916290283
2500,1,3840000,6.540744781494141,1.5608080625534058,0.0,692.8023681640625,0.023980608209967613,0.3926379084587097
2550,1,3916800,5.774311065673828,1.5067777633666992,0.0,321.9225769042969,0.03633224591612816,0.3919467329978943
2600,1,3993600,6.182558536529541,1.5590249300003052,0.0,484.2292785644531,0.027005016803741455,0.38745927810668945
2650,1,4070400,6.434401035308838,1.5279837846755981,0.0,622.9093627929688,0.03593980893492699,0.38483917713165283
2700,1,4147200,6.2774176597595215,1.5094329118728638,0.0,532.4119873046875,0.020340951159596443,0.37747734785079956
2750,1,4224000,6.5142502784729,1.534895420074463,0.0,674.68798828125,0.018076185137033463,0.38379383087158203
2800,1,4300800,6.470472812652588,1.4910528659820557,0.02073115110397339,645.7890014648438,0.010747347958385944,0.41036558151245117
2850,1,4377600,6.640702724456787,1.529911756515503,0.0,765.6328125,0.025340089574456215,0.3891410529613495
2900,1,4454400,6.063438415527344,1.486121416091919,0.0,429.85089111328125,0.026769140735268593,0.39525261521339417
2950,1,4531200,6.399030685424805,1.5340622663497925,0.0,601.261962890625,0.02577454037964344,0.39718422293663025
3000,1,4608000,6.571145534515381,1.6208934783935547,0.0,714.1875,0.0349193774163723,0.39555421471595764
3050,1,4684800,6.215688228607178,1.5067857503890991,0.0,500.54034423828125,0.021089723333716393,0.3906850814819336
3100,1,4761600,6.372279644012451,1.5084397792816162,0.048838794231414795,585.3907470703125,0.0317486934363842,0.4244194030761719
3150,1,4838400,6.328361988067627,1.4585767984390259,0.0,560.2381591796875,0.02870573103427887,0.38610899448394775
3200,1,4915200,6.564187526702881,1.4530115127563477,0.0,709.2354736328125,0.04389916732907295,0.39516231417655945
3250,1,4992000,6.159677505493164,1.501638412475586,0.0,473.2754211425781,0.04090147465467453,0.3966830372810364
3300,1,5068800,6.347265720367432,1.4962990283966064,0.0,570.9295043945312,0.03126286715269089,0.3958112299442291
3350,1,5145600,6.292463779449463,1.4785414934158325,0.0,540.4833374023438,0.03950420022010803,0.39580604434013367
3400,1,5222400,6.2530694007873535,1.4758721590042114,0.026798546314239502,519.605224609375,0.028481056913733482,0.41339927911758423
3450,1,5299200,6.068380832672119,1.4447606801986694,0.0017414093017578125,431.98065185546875,0.0319507010281086,0.4008707106113434
3500,1,5376000,6.157108783721924,1.4101393222808838,0.0,472.0612487792969,0.012883476912975311,0.3764285147190094
3550,1,5452800,6.063749313354492,1.4226491451263428,0.0,429.98455810546875,0.016765763983130455,0.39177390933036804
3600,1,5529600,6.213735103607178,1.4296239614486694,0.0,499.5636901855469,0.01703498698771,0.393598735332489
3650,1,5606400,6.333507537841797,1.4628682136535645,0.0,563.1282958984375,0.019591541960835457,0.3849409520626068
3700,1,5683200,5.480926990509033,1.5001556873321533,0.0,240.06915283203125,0.004200559109449387,0.3892733156681061
3750,1,5760000,6.40942907333374,1.4778411388397217,0.0,607.5466918945312,0.01215954776853323,0.3641374409198761
3800,1,5836800,5.896173000335693,1.4309518337249756,0.0,363.64312744140625,0.010291919112205505,0.3844284117221832
3850,1,5913600,6.464304447174072,1.421831488609314,0.0,641.8178100585938,0.004356989171355963,0.38723117113113403
3900,1,5990400,6.295377731323242,1.4318828582763672,0.0,542.0606079101562,0.018054824322462082,0.3922974765300751
3950,1,6067200,6.142897129058838,1.4175829887390137,0.0028183460235595703,465.39996337890625,0.011970610357820988,0.40140917897224426
4000,1,6144000,6.236125469207764,1.4018253087997437,0.0,510.8752746582031,0.019834445789456367,0.39435282349586487
4050,1,6220800,6.0711822509765625,1.391223430633545,0.012484610080718994,433.1925354003906,0.024476615712046623,0.406242311000824
4100,1,6297600,6.11513090133667,1.3852226734161377,0.0,452.6552734375,0.008045230060815811,0.38570281863212585
4150,1,6374400,6.018585205078125,1.4119515419006348,0.0,410.9967346191406,0.019139038398861885,0.38995686173439026
4200,1,6451200,6.300205230712891,1.4229093790054321,0.0,544.6837158203125,0.025067122653126717,0.3709627687931061
4250,1,6528000,5.9800639152526855,1.3918848037719727,0.0,395.46563720703125,0.0058611719869077206,0.3946051597595215
4300,1,6604800,5.949026584625244,1.3560243844985962,0.03488624095916748,383.3799743652344,0.0004790326056536287,0.4174431264400482
4350,1,6681600,5.990018844604492,1.3768703937530518,0.0,399.4221496582031,0.004510968923568726,0.3719850778579712
4400,1,6758400,6.211232662200928,1.3649513721466064,0.0,498.3150939941406,0.01860879175364971,0.39145293831825256
4450,1,6835200,5.839571475982666,1.4019484519958496,0.0,343.6320495605469,0.011384972371160984,0.3915308117866516
4500,1,6912000,6.044233322143555,1.347853422164917,0.0,421.6743469238281,0.02087649144232273,0.37880101799964905
4550,1,6988800,6.17501974105835,1.3734962940216064,0.0,480.5924987792969,0.002684706123545766,0.3858782649040222
